CAG,log2FoldChange,pvalue
T_CAG1,-0.88 ,0.02 
T_CAG11,-0.65 ,0.05 
T_CAG16,-1.25 ,0.04 
T_CAG18,-1.32 ,0.04 
T_CAG19,-1.75 ,0.00 
T_CAG2,-1.35 ,0.00 
T_CAG20,-1.74 ,0.04 
T_CAG26,2.08 ,0.01 
T_CAG28,1.09 ,0.02 
T_CAG29,1.28 ,0.01 
T_CAG3,-0.92 ,0.03 
T_CAG30,1.33 ,0.02 
T_CAG32,0.93 ,0.02 
T_CAG38,1.48 ,0.01 
T_CAG40,1.20 ,0.03 
T_CAG42,-0.99 ,0.04 
T_CAG46,-1.63 ,0.01 
T_CAG48,-0.81 ,0.02 
T_CAG49,-2.09 ,0.00 
T_CAG53,0.73 ,0.03 
T_CAG54,0.93 ,0.00 
T_CAG60,1.37 ,0.03 
T_CAG61,0.54 ,0.03 
T_CAG67,1.40 ,0.02 
T_CAG68,2.45 ,0.00 
T_CAG69,2.65 ,0.01 
