Sub,group,ClusterA,ClusterB,ClusterC,ClusterD,ClusterE,ClusterF,ClusterG,ClusterH
K00882 1-phosphofructokinase,T,-1.08 ,-0.78 ,-1.31 ,-0.36 ,0.88 ,1.15 ,0.47 ,1.03 
K02757 beta-glucoside-specific IICBA component,T,-0.87 ,-0.83 ,-0.04 ,-1.34 ,0.36 ,0.20 ,0.79 ,1.72 
K02759 cellobiose-specific IIA component,T,0.23 ,-0.21 ,0.73 ,-0.79 ,-1.40 ,0.02 ,-0.47 ,1.89 
K02760 cellobiose-specific IIB component,T,-0.51 ,-0.53 ,0.30 ,-0.77 ,-0.99 ,1.48 ,-0.51 ,1.53 
K02761 cellobiose-specific IIC component,T,-0.47 ,-0.34 ,0.17 ,-0.88 ,-0.93 ,2.03 ,-0.41 ,0.84 
K02770 fructose-specific IIBC or IIC component,T,-0.90 ,-0.53 ,-0.93 ,-1.16 ,0.79 ,1.50 ,0.80 ,0.42 
K02775 galactitol-specific IIC component,T,0.93 ,0.46 ,1.48 ,-0.72 ,-1.06 ,-0.42 ,0.58 ,-1.26 
K02784 phosphocarrier protein HPr,T,-0.88 ,-0.42 ,-1.47 ,-0.07 ,0.44 ,1.83 ,-0.02 ,0.59 
K02794 mannose-specific IIAB component,T,-0.78 ,-0.58 ,-0.13 ,-0.83 ,-0.71 ,0.68 ,2.08 ,0.26 
K02795 mannose-specific IIC component,T,-0.61 ,-0.71 ,0.14 ,-1.16 ,-0.92 ,1.36 ,1.32 ,0.57 
K02796 mannose-specific IID component,T,-0.65 ,-0.56 ,0.36 ,-1.17 ,-1.06 ,0.62 ,1.56 ,0.91 
K02804 N-acetylglucosamine-specific IICBA or IICB component,T,-0.23 ,-0.97 ,-0.94 ,-0.36 ,0.80 ,0.06 ,-0.41 ,2.05 
K02806 nitrogen-specific IIA component,T,2.26 ,-0.20 ,-0.07 ,0.18 ,-0.81 ,-0.69 ,0.13 ,-0.81 
K08483 phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I),T,-0.76 ,-0.85 ,-1.56 ,-0.08 ,0.88 ,1.44 ,0.48 ,0.45 
K11200 2-O-A-mannosyl-D-glycerate-specific IIABC component,T,-0.07 ,0.85 ,2.14 ,-0.58 ,-0.58 ,-0.58 ,-0.58 ,-0.58 
K17465 D-glucosaminate-specific IIB component,T,0.43 ,-0.31 ,1.57 ,-1.11 ,-0.85 ,-0.84 ,1.25 ,-0.15 
K17466 D-glucosaminate-specific IIC component,T,-0.16 ,-0.81 ,1.39 ,-0.89 ,-0.89 ,-0.41 ,1.61 ,0.17 
K17467 D-glucosaminate-specific IID component,T,0.10 ,-0.39 ,1.52 ,-0.91 ,-0.91 ,-0.44 ,1.55 ,-0.52 
K20113 galactose-specific IIB component,T,-0.42 ,-0.42 ,-0.42 ,-0.42 ,-0.08 ,-0.30 ,2.46 ,-0.42 
K20114 galactose-specific IIC component,T,-0.42 ,-0.42 ,-0.42 ,-0.42 ,-0.08 ,-0.30 ,2.46 ,-0.42 
