"Sub","group","mw_up_down","mw_up_no","mw_down_no","increased_cluster_mean","decreased_cluster_mean","unchanged_cluster_mean"
"K00882",TRUE,1e-04,0.9487,0.0382,0.0681,0.0352,0.0722
"K02757",TRUE,0.0052,0.4375,0.0484,0.0554,0.0251,0.0884
"K02759",TRUE,0.4013,0.0074,0.0515,0.0169,0.0283,0.0528
"K02760",TRUE,0.4915,0.0057,0.0218,0.0319,0.0323,0.0926
"K02761",TRUE,0.5221,0.0251,0.0728,0.0463,0.0373,0.0954
"K02770",TRUE,0.0048,0.9658,0.2843,0.0801,0.0419,0.0692
"K02775",TRUE,0.0018,0.2336,0.0397,0.0112,0.0253,0
"K02784",TRUE,0.0025,1,0.1552,0.2142,0.1315,0.2136
"K02794",TRUE,0.05,0.8408,0.5582,0.0268,0.0075,0.0241
"K02795",TRUE,0.1386,0.2278,0.0283,0.0392,0.018,0.0496
"K02796",TRUE,0.4532,0.1033,0.032,0.0286,0.0178,0.0475
"K02804",TRUE,0.0174,0.0411,0.0033,0.04,0.0202,0.0766
"K02806",TRUE,0.034,0.6845,0.3172,0.0021,0.0086,0
"K08483",TRUE,0,0.7254,0.0495,0.0992,0.0515,0.0874
"K11200",TRUE,0.0188,NA,0.4561,0,0.0023,0
"K17465",TRUE,0.2671,0.0378,0.254,0.0051,0.0079,0.0056
"K17466",TRUE,0.2734,0.0202,0.1139,0.0043,0.0048,0.0056
"K17467",TRUE,0.0307,0.3128,0.8411,0.0043,0.0059,0.0021
"K20113",TRUE,0.0485,0.5281,NA,8e-04,0,0
"K20114",TRUE,0.0485,0.5281,NA,8e-04,0,0
