4-Pyridoxic acid_RMCORR,P_value,R_value
mean_sensor,0.04 ,-0.16 
estimated_a1c,0.06 ,-0.15 
gmi,0.02 ,-0.18 
standard_deviation,0.22 ,-0.10 
daytime_sd,0.73 ,-0.03 
nighttime_sd,0.03 ,-0.17 
percent_time_under_180,0.22 ,0.10 
percent_time_180_250,0.18 ,-0.11 
percent_time_70_180,0.07 ,-0.15 
percent_time_under_70,0.00 ,0.25 
r_mage,0.47 ,-0.06 
j_index,0.02 ,-0.19 
conga_1,0.10 ,-0.13 
lbgi,0.36 ,0.07 
hbgi,0.30 ,-0.09 
LAGE,0.51 ,-0.05 
daytime_avg_sensor_glucose,0.02 ,-0.19 
nighttime_avg_sens_glucose,0.20 ,-0.10 
cv_percent,0.72 ,-0.03 
daytime_cv_percent,0.59 ,0.04 
nighttime_cv_percent,0.07 ,-0.14 
