Item,Group,Phase,Max_value,Min_value,Q1,Median,Q3
PC1,O,Normal,10.6,-6.8,-2.05,0.88,4.82
PC1,O,Fiber,4.8,-4.35,-1.8,-1.55,1.13
PC1,O,Follow up,9.83,-2.36,-0.79,1.47,4.68
PC1,T,Normal,9.51,-6.86,-2.39,-1.81,-0.56
PC1,T,Fiber,5.15,-15.31,-2.62,0.51,2.51
PC1,T,Follow up,3.78,-8.81,-3.01,-1.81,0.16
PC2,O,Normal,2.84,-7.13,-0.77,-0.1,1.49
PC2,O,Fiber,1.53,-6.37,-1.64,-1.47,-0.1
PC2,O,Follow up,5.75,-2.31,-0.94,-0.69,-0.22
PC2,T,Normal,3.57,-4.44,-1.48,1.8,2.7
PC2,T,Fiber,4.99,-7.3,-4,0.12,1.39
PC2,T,Follow up,5.6,-1.2,1.34,3.92,4.53
